,telegram_id,username,is_banned,excluded_from_airdrop
1055,346852020,kheovn,1,0
1056,346900967,fajards1195,1,0
1057,346905781,uman0921,1,0
1058,346979851,,1,0
1059,346995965,PLAyLyova,1,0
1060,347074904,CarrWatt,1,0
1063,347220332,,1,0
1064,347253879,zijizhuo,1,0
1065,347289722,,1,0
1068,347564808,,1,0
1069,347565503,leogustaman,1,0
1071,347676613,,1,0
1072,347687832,,1,0
1073,347714011,kalraa257,1,0
1075,347808126,fengzhunzhi31,1,0
1076,347813570,Airdrops46,1,0
1077,347906339,,1,0
1079,347968582,,1,0
1080,347983933,nepalo,1,0
1081,347988678,CupicVN,1,0
1082,348012457,ducthaimonkey,1,0
1083,348070591,Fandisantoso,1,0
1086,348281579,,1,0
1088,348330726,zhiyouchun1,1,0
1090,348533422,qupgynrsqy,1,0
1091,348717665,baochiwei0,1,0
1093,348810559,,1,0
1095,348834316,manzarman,1,0
1096,348928963,tranbichthuy,1,0
1098,349329656,dorothy5ray,1,0
1099,349368525,oleksandr_kyrychenko,1,0
1100,349392882,,1,0
1102,349496717,Gungrawe,1,0
1103,349513470,autumn3webster,1,0
1104,349573510,vusalteam,1,0
1105,349617938,Sinij_wp,1,0
1106,349648024,yilangbei,1,0
1108,349728058,alzeboss,1,0
1110,349795584,yiyueyan19,1,0
1114,350055720,,1,0
1115,350066107,buxianpa1,1,0
1119,350322401,u7w7bfhymkx0j2,1,0
1121,350628809,russtyshilux,1,0
1122,350689509,langyanfen,1,0
1123,350812040,JonasLouisa,1,0
1125,350956847,,1,0
1126,350965131,Faiznew,1,0
1127,351049408,,1,0
1128,351234133,Ten_Keen,1,0
1131,351616002,,1,0
1133,351686069,,1,0
1134,351743836,yom682bu,1,0
1135,351897338,,1,0
1140,352003678,ionxds,1,0
1145,352450110,mactungquan,1,0
1147,352612005,shaprofthugcoin4innercore,1,0
1149,352926350,pangxianyi7,1,0
1151,353075531,danghuyhoangz,1,0
1152,353118498,RoxanneRutherford,1,0
1153,353253853,ser_gon,1,0
1160,353574590,LLIt0p0r,1,0
1161,353745073,facrael,1,0
1162,353835912,ansondin,1,0
1163,353846474,,1,0
1165,353978332,snakelan,1,0
1166,354019394,,1,0
1168,354126510,qtrjhyzugp,1,0
1173,354380844,RMCTeam,1,0
1175,354571997,BlockLesnar,1,0
1176,354579174,feliperzende,1,0
1178,354722646,rexcloud,1,0
1179,354816434,,1,0
1180,354820489,,1,0
1181,354902400,Nuhollic,1,0
1182,354906154,chidouchun,1,0
1184,354934374,shalanyuan,1,0
1185,355071591,luanwomu3,1,0
1187,355377173,vaishykrishan,1,0
1188,355426831,,1,0
1189,355463690,Bitcoin1966,1,0
1190,355583817,trieubichtram,1,0
1191,355627599,,1,0
1192,355823878,MooreBennett,1,0
1195,355868648,SHubinMaksim,1,0
1196,355916751,,1,0
1198,356018194,dangkhanhthuy,1,0
1201,356138870,Darth43Vader,1,0
1202,356217113,xugouxian8,1,0
1203,356307194,jacoboisiwer,1,0
1204,356356981,angelina4bloomfield,1,0
1209,356759154,,1,0
1210,356851309,,1,0
1214,357007688,terry2418,1,0
1216,357181426,,1,0
1221,357501024,,1,0
1223,357558896,hakeem1279,1,0
1224,357567256,qwazpgzrzg,1,0
1225,357742153,,1,0
1228,358024806,,1,0
1229,358070209,tulukang,1,0
1234,358462026,quigasqmdu,1,0
1236,358666567,qvdtarlhms,1,0
1237,358732364,ScrabbleScrabble,1,0
1238,358754610,,1,0
1239,358823713,yasir368,1,0
1241,359084278,,1,0
1242,359095407,lieuvietduy,1,0
1243,359540494,,1,0
1244,359571889,,1,0
1245,359695705,,1,0
1246,359697956,doli31,1,0
1247,359770986,Humphrey1987,1,0
1248,359830288,,1,0
1249,359936654,phaikhong818,1,0
1250,359936654,phaikhong818,1,0
1251,359962307,qvclraacpa,1,0
1256,360206211,,1,0
1259,360533938,Chistiantian,1,0
1260,360552281,chensongtui5,1,0
1261,360587312,,1,0
